ingredients,brand,name,price,quantity,unit
"WATER/AQUA/EAU, SODIUM LAUROYL METHYL ISETHIONATE, COCOS NUCIFERA  OIL, GLYCERIN, COCAMIDOPROPYL BETAINE, MICROCRYSTALLINE CELLULOSE, SODIUM METHYL OLEOYL TAURATE, SODIUM COCOYL ISETHIONATE, GLYCERYL STEARATE, HYDROGENATED CASTOR OIL, LITHIUM MAGNESIUM SODIUM SILICATE, PANTHENOL, XYLITYLGLUCOSIDE, CHARCOAL POWDER, MELALEUCA ALTERNIFOLIA  LEAF OIL, MENTHA PIPERITA  OIL, ZINGIBER OFFICINALE  ROOT OIL, MENTHA VIRIDIS  LEAF OIL, ANHYDROXYLITOL, BISABOLOL, MENTHYL LACTATE, XYLITOL, POLYQUATERNIUM-7, TRISODIUM ETHYLENEDIAMENE DISUCCINATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, SODIUM BENZOATE, BENZYL ALCOHOL, DEHYDROACETIC ACID, FRAGRANCE ",briogeo,Scalp Revival Charcoal,"23,01",100,ml
"WATER , SODIUM LAUROYL METHYL ISETHIONATE, COCAMIDOPROPYL HYDROXYSULTAINE, SODIUM LAUROYL GLUTAMATE, COCO-BETAINE, DISODIUM LAURETH SULFOSUCCINATE, ACRYLATES COPOLYMER, COCAMIDOPROPYL BETAINE, COCAMIDOPROPYLAMINE OXIDE, SODIUM METHYL OLEOYL TAURATE, DECYL GLUCOSIDE, BIS-AMINOPROPYL DIGLYCOL DIMALEATE, SODIUM LAURYL SULFOACETATE, PHENOXYETHANOL, COCO-GLUCOSIDE, LAURYL GLUCOSIDE, CHLORPHENESIN, PANTHENOL, TRISODIUM ETHYLENEDIAMINE, DISUCCINATE ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, POLYQUATERNIUM-11, BENZOIC ACID, SODIUM PCA , PENTASODIUM TRIPHOSPHATE, SODIUM LACTATE, ARGININE, ASPARTIC ACID, PCA, CITRIC ACID, GLYCINE, ALANINE, SERINE, VALINE, ISOLEUCIN, PROLINE,THREONINE, HISTIDINE, PHENYLALANINE, FRAGRANCE , CITRAL, HEXYL CINNAMAL, LIMONENE",olaplex,No. 4C Bond Maintenance,"11,96",100,ml
"AQUA , COCAMIDOPROPYL BETAINE, GLYCERIN, SODIUM METHYL COCOYL TAURATE, SODIUM CHLORIDE, DISODIUM COCOAMPHODIACETATE, PARFUM , SODIUM BENZOATE, POLYQUATERNIUM-10, LAURETH-2, PEG/PPG-120/10 TRIMETHYLOLPROPANE TRIOLEATE, CITRIC ACID, HYDROLYZED WHEAT PROTEIN, OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE, STEARAMIDOPROPYL DIMETHYLAMINE, HYDROLYZED CORN PROTEIN, HYDROLYZED SOY PROTEIN, TETRASODIUM GLUTAMATE DIACETATE, BIOTIN, SODIUM ACETATE, ISOPROPYL ALCOHOL, SODIUM HYDROXIDE, GLYOXAL",sephora collection,Shampooing Fortifiant,"6,99",100,ml
"1227668 E - INGREDIENTS: AQUA / WATER / EAU, SODIUM LAURETH SULFATE, SODIUM LAURYL SULFATE, GLYCERIN, COCAMIDE MEA, SALICYLIC ACID, COCO-BETAINE, LAURETH-5 CARBOXYLIC ACID, ACRYLATES COPOLYMER, COCAMIDE MIPA, SODIUM HYDROXIDE, CITRIC ACID, SODIUM BENZOATE, ARGANIA SPINOSA SHELL POWDER, PRUNUS ARMENIACA SEED POWDER / APRICOT SEED POWDER, HEXYLENE GLYCOL, SODIUM CHLORIDE, MENTHOL, POLYQUATERNIUM-10, ISOPROPYL MYRISTATE, PEG-55 PROPYLENE GLYCOL OLEATE, PROPYLENE GLYCOL, LIMONENE, SQUALANE, CAPRYLOYL SALICYLIC ACID, BENZYL SALICYLATE, BENZYL ALCOHOL, LINALOOL, CITRONELLOL, CITRAL, GERANIOL, ARTEMISIA UMBELLIFORMIS FLOWER EXTRACT, POTASSIUM SORBATE, PARFUM / FRAGRANCE (F",kérastase,Symbiose Bain Pureté Anti-Pelliculaire,"11,96",100,ml
"1227668 E - INGREDIENTS: AQUA / WATER / EAU, SODIUM LAURETH SULFATE, SODIUM LAURYL SULFATE, GLYCERIN, COCAMIDE MEA, SALICYLIC ACID, COCO-BETAINE, LAURETH-5 CARBOXYLIC ACID, ACRYLATES COPOLYMER, COCAMIDE MIPA, SODIUM HYDROXIDE, CITRIC ACID, SODIUM BENZOATE, ARGANIA SPINOSA SHELL POWDER, PRUNUS ARMENIACA SEED POWDER / APRICOT SEED POWDER, HEXYLENE GLYCOL, SODIUM CHLORIDE, MENTHOL, POLYQUATERNIUM-10, ISOPROPYL MYRISTATE, PEG-55 PROPYLENE GLYCOL OLEATE, PROPYLENE GLYCOL, LIMONENE, SQUALANE, CAPRYLOYL SALICYLIC ACID, BENZYL SALICYLATE, BENZYL ALCOHOL, LINALOOL, CITRONELLOL, CITRAL, GERANIOL, ARTEMISIA UMBELLIFORMIS FLOWER EXTRACT, POTASSIUM SORBATE, PARFUM / FRAGRANCE (F",kérastase,Symbiose Bain Crème Anti-Pelliculaire,"11,96",100,ml
BIS-AMINOPROPYL DIGLYCOL DIMALEATE: REPAIRS DAMAGED HAIR AND PROTECTS FROM DAMAGE,olaplex,N°4 Bond maintenance ™,"11,96",100,ml
"Deep conditioning mask Don't Despair, Repair!, BRIOGEO - 59 mlWATER/AQUA/EAU, CETYL ALCOHOL, BRASSICA ALCOHOL, PROPANEDIOL, STEARYL ALCOHOL, CETEARYL ALCOHOL, PERSEA GRATISSIMA  OIL, PRUNUS AMYGDALUS DULCIS  OIL, ROSA CANINA FRUIT OIL, ARGANIA SPINOSA KERNEL OIL, ALOE BARBADENSIS LEAF JUICE, PANTHENOL, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, BIOTIN, HYDROLYZED CORN PROTEIN, HYDROLYZED WHEAT PROTEIN, HYDROLYZED SOY PROTEIN, PANAX GINSENG ROOT EXTRACT, CALENDULA OFFICINALIS FLOWER EXTRACT, LAURUS NOBILIS LEAF EXTRACT, PALMARIA PALMATA EXTRACT, SANTALUM ALBUM  OIL, AMYRIS BALSAMIFERA BARK OIL, POGOSTEMON CABLIN OIL, ELETTARIA CARDAMOMUM SEED OIL, FERULA GALBANIFLUA  RESIN OIL, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, CETYL ESTERS, ISODODECANE, CETRIMONIUM CHLORIDE, BEHENTRIMONIUM METHOSULFATE, BRASSICYL ISOLEUCINATE ESYLATE, CITRIC ACID, ISOPROPYL MYRISTATE, BUTYLENE GLYCOL, GLYCERIN, FRAGRANCE , SODIUM HYDROXIDE, DEHYDROACETIC ACID, BENZYL ALCOHOLMoisture-Riche Body Lotion, CLARINS - 30 ml DILINOLEIC ACID/BUTANEDIOL COPOLYMER",sephora favorites,Sephora Favorites,"15,05",100,ml
"SODIUM CHLORIDE , AQUA  , SODIUM METHYL LAUROYL TAURATE , SODIUM COCOAMPHOACETATE , LAURYL GLUCOSIDE , GLYCERIN , CETEARYL ALCOHOL , CITRIC ACID , HYDRATED SILICA , ACETUM  , COCO-GLUCOSIDE , GLYCERYL OLEATE , SODIUM LAURYL GLUCOSE CARBOXYLATE , LAURIC ACID , PARFUM  , SODIUM METHYLTAURATE , POTASSIUM SORBATE , POLYQUATERNIUM-7 , SODIUM CITRATE , PYRUS MALUS  FRUIT EXTRACT , SORBIC ACID , SODIUM BENZOATE , TOCOPHEROL , HYDROGENATED PALM GLYCERIDES CITRATE , LECITHIN , ASCORBYL PALMITATE",sephora collection,Shampooing Exfoliant cheveux,"7,50",100,ml
"AQUA / WATER, SODIUM LAURETH SULFATE, GLYCERIN, COCO-BETAINE, SODIUM CHLORIDE, COCAMIDE, MIPA, CITRIC ACID, SODIUM BENZOATE, SODIUM HYDROXIDE, HEXYLENE GLYCOL, HYDROXYPROPYL GUAR , HYDROXYPROPYLTRIMONIUM CHLORIDE, SALICYLIC ACID, LIMONENE, TOCOPHEROL, LEONTOPODIUM, ALPINUM FLOWER/LEAF EXTRACT, SODIUM HYALURONATE, MALVA SYLVESTRIS FLOWER EXTRACT / MALLOW FLOWER EXTRACT, POTASSIUM SORBATE, PARFUM / FRAGRANCECette liste d'ingrédients peut faire l'objet de modifications, veuillez consulter l'emballage du produit acheté",kérastase,Blond Absolu Bain Lumière,"11,20",100,ml
1165791 A - INGREDIENTS: AQUA / WATER • SODIUM LAURETH SULFATE • COCO-BETAINE • DIMETHICONE • SODIUM CHLORIDE • CYCLODEXTRIN • PPG-5-CETETH-20 • SODIUM BENZOATE • SALICYLIC ACID • POLYQUATERNIUM-6 • CARBOMER • HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN • BUTYLENE GLYCOL • LINALOOL • LIMONENE • GLYCERYL LINOLEATE • GLYCERYL OLEATE • SAFFLOWER GLUCOSIDE • CITRONELLOL • PHENOXYETHANOL • IRIS FLORENTINA ROOT EXTRACT • GLYCERYL LINOLENATE • TOCOPHEROL • BHT • SODIUM CITRATE • SODIUM HYDROXIDE • CITRIC ACID • PARFUM / FRAGRANCE (F,kérastase,Nutritive Bain Satin 2,"11,60",100,ml
